building_name,building_irn,school_year,enrollment,value_added_composite,performance_index_score
Hope Academy Northwest Campus,000575,2021-2022,189,2.62,68.4
Horizon Science Acad Cleveland,133629,2020-2021,328,NA,31.739
Horizon Science Acad Cleveland,133629,2021-2022,311,1.51,56.3
Horizon Science Acad Cleveland,133629,2022-2023,280,0.23,59.7
"Intergenerational School, The",133215,2020-2021,258,NA,61.014
"Intergenerational School, The",133215,2021-2022,232,2.05,66.4
"Intergenerational School, The",133215,2022-2023,206,-1.04,63.2
Jane Addams Business Careers High School,017863,2020-2021,134,NA,35.581
John Adams College & Career Academy,016885,2020-2021,481,NA,27.211
John Adams College & Career Academy,016885,2021-2022,481,-4.4,40
John Adams College & Career Academy,016885,2022-2023,512,-3.08,42.5
John F Kennedy High School,014919,2020-2021,530,NA,41.046
John F Kennedy High School,014919,2021-2022,653,-4.46,42.6
John F Kennedy High School,014919,2022-2023,611,-3.54,37.1
John Marshall School of Business and Civic Leadership,015599,2020-2021,456,NA,44
John Marshall School of Business and Civic Leadership,015599,2021-2022,459,3.51,57.7
John Marshall School of Business and Civic Leadership,015599,2022-2023,449,4.17,55.9
John Marshall School of Engineering,015598,2020-2021,421,NA,42.738
John Marshall School of Engineering,015598,2021-2022,392,-1.8,54
John Marshall School of Engineering,015598,2022-2023,417,1.62,56.7
John Marshall School of Information Technology,015600,2020-2021,434,NA,44.59
John Marshall School of Information Technology,015600,2021-2022,415,1.58,58.2
John Marshall School of Information Technology,015600,2022-2023,447,-0.95,56.3
Joseph M Gallagher School,062778,2020-2021,705,NA,34.033
Joseph M Gallagher School,062778,2021-2022,717,13.25,52.8
Joseph M Gallagher School,062778,2022-2023,647,15.31,58.9
Kenneth W Clement,068221,2020-2021,167,NA,44.116
Kenneth W Clement,068221,2021-2022,172,7.17,56.9
Kenneth W Clement,068221,2022-2023,171,6.73,60.6
Lakeshore Intergenerational School,014913,2020-2021,248,NA,61.625
Lakeshore Intergenerational School,014913,2021-2022,227,3.9,67.5
Lakeshore Intergenerational School,014913,2022-2023,176,-2.16,56.1
Lincoln West School Of Global Studies,016427,2020-2021,377,NA,27.436
Lincoln West School Of Global Studies,016427,2021-2022,391,-0.16,44.5
Lincoln West School Of Global Studies,016427,2022-2023,368,0.55,45.6
Lincoln West School of Science & Health,016429,2020-2021,267,NA,40.056
Lincoln West School of Science & Health,016429,2021-2022,271,-1.23,46.8
Lincoln West School of Science & Health,016429,2022-2023,252,0.1,48.3
Louis Agassiz School,021527,2020-2021,243,NA,41.768
Louisa May Alcott Elementary School,021550,2020-2021,184,NA,50.163
Louisa May Alcott Elementary School,021550,2021-2022,164,2.28,67.6
Louisa May Alcott Elementary School,021550,2022-2023,184,0.8,62.6
Luis Munoz Marin School,062760,2020-2021,432,NA,31.185
Luis Munoz Marin School,062760,2021-2022,448,1.85,39.8
Luis Munoz Marin School,062760,2022-2023,454,-1.35,38.7
MC^2 STEM High School,010200,2020-2021,325,NA,41.926
MC^2 STEM High School,010200,2021-2022,291,-4.01,55
MC^2 STEM High School,010200,2022-2023,241,-3.68,58.2
Marion C Seltzer Elementary School,065565,2020-2021,351,NA,36.489
Marion C Seltzer Elementary School,065565,2021-2022,355,1.26,46.6
Marion C Seltzer Elementary School,065565,2022-2023,371,-0.22,49.3
Marion-Sterling Elementary School,065573,2020-2021,306,NA,23.753
Marion-Sterling Elementary School,065573,2021-2022,265,2.58,45.5
Marion-Sterling Elementary School,065573,2022-2023,260,0.49,43.2
Mary B Martin School,023069,2020-2021,219,NA,28.481
Mary B Martin School,023069,2021-2022,204,2.58,41.6
Mary B Martin School,023069,2022-2023,230,0.74,42.2
Mary Church Terrell,021527,2021-2022,238,6.13,55.1
Mary Church Terrell,021527,2022-2023,224,3.65,65.1
Mary M Bethune,023085,2020-2021,259,NA,40.465
Mary M Bethune,023085,2021-2022,261,2.84,46.4
Mary M Bethune,023085,2022-2023,297,3.21,48.6
Max S Hayes High School,023259,2020-2021,602,NA,31.866
Max S Hayes High School,023259,2021-2022,607,-5.08,46.2
